Designator,Mid X,Mid Y,Rotation,Layer
D1,118.11,-69.215,270.0,top
D102,205.74,-66.675,180.0,top
D104,320.04,-120.65,180.0,top
D105,186.69,-66.675,180.0,top
D106,240.03,-66.675,0.0,top
D110,320.04,-141.224,180.0,top
D2,320.04,-136.652,180.0,top
D202,220.98,-66.675,0.0,top
D210,320.04,-126.492,180.0,top
D3,320.04,-151.384,180.0,top
D301,73.025,-126.365,0.0,top
D401,73.025,-121.92,0.0,top
D412,73.025,-154.94,0.0,top
D501,73.025,-138.43,180.0,top
D501A1,73.025,-142.875,180.0,top
D512,278.13,-66.675,0.0,top
JKBD1,163.83,-69.85,270.0,top
JSPKR1,141.605,-69.85,0.0,top
K101,101.219,-143.0975,0.0,top
K102,285.115,-159.1,0.0,top
K103,196.85,-162.1475,0.0,top
K104,304.165,-101.95,0.0,top
K105,266.065,-159.1,0.0,top
K106,304.165,-159.1,0.0,top
K110,304.165,-140.05,0.0,top
K201,96.52,-159.1,0.0,top
K202,285.115,-140.05,0.0,top
K203,132.461,-140.05,0.0,top
K204,151.511,-140.05,0.0,top
K205,170.561,-140.05,0.0,top
K206,189.611,-140.05,0.0,top
K207,208.661,-140.05,0.0,top
K208,227.711,-140.05,0.0,top
K209,246.761,-140.05,0.0,top
K210,266.065,-140.05,0.0,top
K301,93.98,-121.0,0.0,top
K302,118.11,-121.0,0.0,top
K303,137.16,-121.0,0.0,top
K304,156.21,-121.0,0.0,top
K305,175.26,-121.0,0.0,top
K306,194.31,-121.0,0.0,top
K307,213.36,-121.0,0.0,top
K308,232.41,-121.0,0.0,top
K309,251.46,-121.0,0.0,top
K310,270.51,-121.0,0.0,top
K311,297.053,-121.0,0.0,top
K401,91.567,-101.95,0.0,top
K402,113.03,-101.95,0.0,top
K403,132.08,-101.95,0.0,top
K404,151.13,-101.95,0.0,top
K405,170.18,-101.95,0.0,top
K406,189.23,-101.95,0.0,top
K407,208.28,-101.95,0.0,top
K408,227.33,-101.95,0.0,top
K409,246.38,-101.95,0.0,top
K410,265.43,-101.95,0.0,top
K411,284.48,-101.95,0.0,top
K412,125.095,-159.1,0.0,top
K501,88.9,-82.9,0.0,top
K502,107.95,-82.9,0.0,top
K503,127.0,-82.9,0.0,top
K504,146.05,-82.9,0.0,top
K505,165.1,-82.9,0.0,top
K506,184.15,-82.9,0.0,top
K507,203.2,-82.9,0.0,top
K508,222.25,-82.9,0.0,top
K509,241.3,-82.9,0.0,top
K510,260.35,-82.9,0.0,top
K511,279.4,-82.9,0.0,top
K512,301.625,-82.9,0.0,top
Q0,278.13,-71.12,0.0,top
Q1,102.87,-70.485,90.0,top
Q2,92.71,-70.485,90.0,top
Q5,186.69,-71.255,0.0,top
Q6,206.375,-71.255,0.0,top
Q7,220.98,-71.255,0.0,top
Q8,240.03,-71.255,0.0,top
QCS1,74.295,-132.08,0.0,top
QM1,321.056,-145.804,0.0,top
QN1,321.056,-131.072,0.0,top
QO1,318.77,-114.435,0.0,top
QP1,74.295,-160.02,0.0,top
QSS1,74.295,-147.955,0.0,top
RLED1,130.175,-67.945,180.0,top
RPU1,130.175,-72.39,180.0,top
